,FileName,SampleName
0,PanC_20250722_03_DDA_01,C0.1
1,PanC_20250715_02_DDA_01,C0.2
2,PanC_20250722_03_DDA_02,C0.3
3,PanC_20250715_02_DDA_02,C6.4
4,PanC_20250722_03_DDA_03,C6.5
5,PanC_20250715_02_DDA_03,C6.6
6,PanC_20250722_03_DDA_09,S0.2
7,PanC_20250722_03_DDA_10,S6.5
8,PanC_20250722_03_DDA_11,S6.7
9,PanC_20250722_03_DDA_12,S6.9
10,PanC_20250715_02_DDA_07_rep2,C24.14
11,PanC_20250715_02_DDA_08_rep2,S0.1
12,PanC_20250715_02_DDA_20_rep2,S12.15
13,PanC_20250715_02_DDA_22_rep2,S18.13
14,PanC_20250722_03_DDA_13,S6.11
15,PanC_20250722_03_DDA_14,S6.13
16,PanC_20250722_03_DDA_15,S6.15
17,PanC_20250722_03_DDA_16,S12.8
18,PanC_20250722_03_DDA_17,S12.10
19,PanC_20250722_03_DDA_18,S12.12
20,PanC_20250722_03_DDA_19,S12.14
21,PanC_20250722_03_DDA_20,S18.10
22,PanC_20250722_03_DDA_21,S18.12
23,PanC_20250722_03_DDA_22,S18.14
24,PanC_20250722_03_DDA_23,S24.13
25,PanC_20250722_03_DDA_24,S24.15
26,PanC_20251118_05_DDA_01,C12.8
27,PanC_20251118_05_DDA_02,C18.10
28,PanC_20251118_05_DDA_03,C18.12
29,PanC_20251118_05_DDA_04,S0.3
30,PanC_20251118_05_DDA_05,S6.4
31,PanC_20251118_05_DDA_06,S6.6
32,PanC_20251118_05_DDA_07,S6.8
33,PanC_20251118_05_DDA_08,S6.10
34,PanC_20251118_05_DDA_09,S6.12
35,PanC_20251118_05_DDA_10,S6.14
36,PanC_20251118_05_DDA_11,S12.7
37,PanC_20251118_05_DDA_12,S12.9
38,PanC_20251118_05_DDA_13,S12.11
39,PanC_20251118_05_DDA_14,S12.13
40,PanC_20251118_05_DDA_15,S18.11
41,PanC_20251118_05_DDA_16,S18.15
42,PanC_20251118_05_DDA_17,S24.14
43,PanC_20251118_05_DDA_18,C12.7
44,PanC_20251118_05_DDA_19,C12.9
45,PanC_20251118_05_DDA_20,C18.11
46,PanC_20251118_05_DDA_21,C24.13
47,PanC_20251118_05_DDA_22,C24.15
